ID_0,ISO,NAME_0,ID_1,NAME_1,ID_2,NAME_2,VARNAME_2,NL_NAME_2,HASC_2,CC_2,TYPE_2,ENGTYPE_2,VALIDFR_2,VALIDTO_2,REMARKS_2,Shape_Leng,Shape_Area,prev_mean_sh_mean,prev_mean_sman_mean,prev_mean_anysch_mean,prev_mean_asc_mean,prev_mean_hkw_mean,prev_mean_tri_mean,prev_mean_anysth_mean,prev_mean_1_sh_mean,prev_mean_1_sman_mean,prev_mean_1_anysch_mean,prev_mean_1_asc_mean,prev_mean_1_hkw_mean,prev_mean_1_tri_mean,prev_mean_1_anysth_mean
157,MWI,Malawi,1961,Kasungu,22794,SC M'nyanja,,,,,Sub-chief,Sub-chief,Unknown,Unknown,,0.884942604,0.023696811,0.129392,0.022351,0.147974,0.007231,0.024401,0.00124,0.041114,0.105786,0.005348,0.108485,0.009959,0.007649,0.001812,0.012191
157,MWI,Malawi,1961,Kasungu,22795,SC Njombwa,,,,,Sub-chief,Sub-chief,Unknown,Unknown,,0.80810822,0.022290839,0.102533,0.053824,0.142145,0.009696,0.021944,0.00247,0.040725,0.051997,0.003198,0.05207,0.006561,0.005433,0.001975,0.010394
157,MWI,Malawi,1961,Kasungu,22796,SC Simlemba,,,,,Sub-chief,Sub-chief,Unknown,Unknown,,0.902155125,0.025458145,0.118886,0.017714,0.129623,0.005408,0.039714,0.001156,0.052665,0.171676,0.004766,0.171134,0.013374,0.010431,0.001873,0.016359
157,MWI,Malawi,1961,Kasungu,22797,TA Chulu,,,,,Traditional Authority,Traditional Authority,Unknown,Unknown,,1.224040294,0.048245069,0.11661,0.026612,0.139444,0.007533,0.019738,0.00125,0.036494,0.071469,0.006305,0.074563,0.012517,0.008513,0.001703,0.018831
157,MWI,Malawi,1961,Kasungu,22798,TA Kaluluma,,,,,Traditional Authority,Traditional Authority,Unknown,Unknown,,1.139299403,0.033912259,0.209279,0.011899,0.219528,0.010736,0.018785,0.001855,0.033192,0.071368,0.005558,0.071927,0.022232,0.019604,0.002644,0.03072
157,MWI,Malawi,1961,Kasungu,22799,TA Kaomba,,,,,Traditional Authority,Traditional Authority,Unknown,Unknown,,1.121189829,0.023566103,0.109068,0.039274,0.141352,0.006826,0.021429,0.001417,0.038152,0.093794,0.004263,0.095319,0.006618,0.005241,0.001821,0.009848
157,MWI,Malawi,1961,Kasungu,22800,TA Kapelula,,,,,Traditional Authority,Traditional Authority,Unknown,Unknown,,0.819468813,0.027683065,0.167974,0.052702,0.184482,0.010137,0.03208,0.003254,0.047119,0.057498,0.006368,0.058466,0.017021,0.014698,0.001926,0.026867
157,MWI,Malawi,1961,Kasungu,22801,TA Mwase,,,,,Traditional Authority,Traditional Authority,Unknown,Unknown,,0.594410903,0.015753619,0.111227,0.032635,0.14205,0.005829,0.018852,0.00113,0.03456,0.076704,0.005034,0.078669,0.008308,0.006011,0.001775,0.01246
157,MWI,Malawi,1961,Kasungu,22802,TA Santhe,,,,,Traditional Authority,Traditional Authority,Unknown,Unknown,,1.226669736,0.062074893,0.068422,0.033979,0.110023,0.010974,0.01465,0.000927,0.040235,0.055339,0.003708,0.055806,0.006179,0.004283,0.001741,0.01029
157,MWI,Malawi,1961,Kasungu,22803,TA Wimbe,,,,,Traditional Authority,Traditional Authority,Unknown,Unknown,,1.439061574,0.075656393,0.126162,0.058189,0.154921,0.008293,0.031629,0.002375,0.046559,0.107729,0.004797,0.107892,0.008301,0.007815,0.001924,0.012597
157,MWI,Malawi,1962,Lilongwe,22804,Lilongwe City,,,,,City,City,Unknown,Unknown,,1.190601465,0.03614424,0.104682,0.119743,0.182043,0.00953,0.023928,0.009308,0.028429,0.019416,0.01288,0.029154,0.078015,0.03751,0.002401,0.121395
157,MWI,Malawi,1962,Lilongwe,22805,SC Chitekwele,,,,,Sub-chief,Sub-chief,Unknown,Unknown,,1.104154133,0.031085588,0.058034,0.185436,0.313666,0.014714,0.01602,0.003844,0.035148,0.033058,0.046909,0.073911,0.016882,0.00773,0.001739,0.020613
157,MWI,Malawi,1953,Balaka,22724,Balaka Town,,,,,Town,Town,Unknown,Unknown,,0.119460115,0.00086583,0.18627,0.009321,0.191268,0.003487,0.010223,0.014526,0.012252,0.030994,0.012212,0.038418,0.03392,0.047731,0.002859,0.090227
157,MWI,Malawi,1953,Balaka,22725,TA Kalembo,,,,,Traditional Authority,Traditional Authority,Unknown,Unknown,,1.170969422,0.062550992,0.196378,0.050628,0.200239,0.002478,0.019511,0.007666,0.018358,0.046091,0.009835,0.054477,0.015319,0.016168,0.002737,0.025338
157,MWI,Malawi,1953,Balaka,22726,TA Nsamala,,,,,Traditional Authority,Traditional Authority,Unknown,Unknown,,1.710641861,0.11583645,0.159069,0.03545,0.186028,0.002549,0.014255,0.009534,0.014551,0.037423,0.028425,0.05979,0.047275,0.031507,0.004091,0.080042
157,MWI,Malawi,1954,Blantyre,22727,Blantyre City,,,,,City,City,Unknown,Unknown,,0.882019276,0.020073059,0.150052,0.027691,0.163846,0.010551,0.01841,0.010099,0.025264,0.019706,0.006895,0.02439,0.012311,0.020199,0.005938,0.034035
157,MWI,Malawi,1954,Blantyre,22728,TA Chigaru,,,,,Traditional Authority,Traditional Authority,Unknown,Unknown,,0.67137066,0.02145907,0.194384,0.051466,0.226678,0.001625,0.00949,0.005381,0.011517,0.022225,0.01406,0.031578,0.033886,0.037446,0.003776,0.086913
157,MWI,Malawi,1954,Blantyre,22729,TA Kapeni,,,,,Traditional Authority,Traditional Authority,Unknown,Unknown,,1.130016338,0.017834068,0.311425,0.093463,0.367589,0.002898,0.019131,0.00466,0.020254,0.03103,0.008966,0.037469,0.018465,0.01412,0.002704,0.026361
157,MWI,Malawi,1954,Blantyre,22730,TA Kuntaja,,,,,Traditional Authority,Traditional Authority,Unknown,Unknown,,1.232215391,0.028899347,0.278745,0.149447,0.370835,0.002789,0.021672,0.010331,0.019812,0.034106,0.022125,0.054665,0.033807,0.02921,0.003127,0.073021
157,MWI,Malawi,1954,Blantyre,22731,TA Kunthembwe,,,,,Traditional Authority,Traditional Authority,Unknown,Unknown,,0.94963196,0.038884014,0.261156,0.086918,0.303514,0.001723,0.021177,0.007897,0.018205,0.054647,0.03613,0.086492,0.045383,0.042752,0.003082,0.091144
157,MWI,Malawi,1954,Blantyre,22732,TA Lundu,,,,,Traditional Authority,Traditional Authority,Unknown,Unknown,,0.547821891,0.011323629,0.217636,0.07544,0.267951,0.004144,0.007214,0.00615,0.012051,0.063727,0.0103,0.068923,0.031093,0.015366,0.002893,0.043579
157,MWI,Malawi,1954,Blantyre,22733,TA Machinjili,,,,,Traditional Authority,Traditional Authority,Unknown,Unknown,,0.685427243,0.005999166,0.133265,0.035278,0.166266,0.004493,0.014407,0.006397,0.019149,0.038414,0.006442,0.03978,0.021197,0.058343,0.002947,0.093398
157,MWI,Malawi,1954,Blantyre,22734,TA Makata,,,,,Traditional Authority,Traditional Authority,Unknown,Unknown,,0.477201797,0.005003404,0.220508,0.059753,0.244182,0.007018,0.011253,0.007001,0.019235,0.063197,0.019315,0.071387,0.044533,0.016134,0.002379,0.057207
157,MWI,Malawi,1954,Blantyre,22735,TA Somba,,,,,Traditional Authority,Traditional Authority,Unknown,Unknown,,0.849448,0.021355533,0.223911,0.024327,0.24192,0.002924,0.0227,0.005825,0.022141,0.038781,0.009611,0.045344,0.010417,0.007097,0.00301,0.016403
157,MWI,Malawi,1955,Chikwawa,22736,Chikwawa Boma,,,,,Boma,Headquarter,Unknown,Unknown,,0.126849466,0.000709559,0.298664,0.107234,0.365887,0.000487,0.01793,0.008675,0.01582,0.181099,0.00921,0.186622,0.007925,0.007804,0.003984,0.014312
157,MWI,Malawi,1955,Chikwawa,22737,Lengwe National Park,,,,,National Park,National Park,Unknown,Unknown,,2.059772605,0.080047644,0.240461,0.080788,0.311093,0.000521,0.013828,0.003777,0.015593,0.112792,0.008742,0.12166,0.010138,0.009413,0.002887,0.017098
157,MWI,Malawi,1955,Chikwawa,22738,Majete Game Reserve - Chikwawa,,,,,Reserve,Reserve,Unknown,Unknown,,1.274577801,0.070735301,0.291081,0.079012,0.339364,0.000972,0.016158,0.005498,0.015382,0.103075,0.012564,0.113644,0.014316,0.010686,0.003182,0.022774
157,MWI,Malawi,1955,Chikwawa,22740,TA Chapananga,,,,,Traditional Authority,Traditional Authority,Unknown,Unknown,,1.967746235,0.069072031,0.340121,0.066435,0.395893,0.000778,0.013106,0.003835,0.013657,0.117581,0.009995,0.1277,0.012255,0.010499,0.002964,0.020113
157,MWI,Malawi,1955,Chikwawa,22741,TA Kasisi,,,,,Traditional Authority,Traditional Authority,Unknown,Unknown,,1.079397013,0.031276493,0.284943,0.085898,0.332523,0.000911,0.020536,0.007869,0.017632,0.113042,0.012364,0.122968,0.010412,0.009518,0.003465,0.017786
157,MWI,Malawi,1955,Chikwawa,22742,TA Katunga,,,,,Traditional Authority,Traditional Authority,Unknown,Unknown,,0.700332431,0.013613737,0.278054,0.105434,0.350832,0.000457,0.016066,0.006952,0.015831,0.16972,0.010704,0.176986,0.009386,0.009005,0.004005,0.018922
157,MWI,Malawi,1955,Chikwawa,22743,TA Lundu,,,,,Traditional Authority,Traditional Authority,Unknown,Unknown,,0.683585593,0.016846444,0.271165,0.102476,0.351704,0.000352,0.014047,0.005988,0.014749,0.203514,0.008186,0.20371,0.007141,0.007252,0.005223,0.016381
157,MWI,Malawi,1955,Chikwawa,22744,TA Makhwira,,,,,Traditional Authority,Traditional Authority,Unknown,Unknown,,1.101893794,0.03947,0.263563,0.094077,0.346041,0.000341,0.01313,0.005093,0.014293,0.220106,0.010245,0.221247,0.027002,0.008718,0.00864,0.053924
157,MWI,Malawi,1955,Chikwawa,22745,TA Maseya,,,,,Traditional Authority,Traditional Authority,Unknown,Unknown,,0.684283607,0.012267,0.27507,0.10076,0.350891,0.000384,0.014697,0.006174,0.015258,0.16625,0.009555,0.169961,0.007925,0.007427,0.004928,0.018898
157,MWI,Malawi,1955,Chikwawa,22746,TA Ngabu,,,,,Traditional Authority,Traditional Authority,Unknown,Unknown,,1.8540269,0.091341739,0.242544,0.07749,0.324404,0.000353,0.01196,0.003467,0.014044,0.179436,0.007076,0.181681,0.01123,0.009662,0.004971,0.024066
157,MWI,Malawi,1956,Chiradzulu,22748,TA Chitera,,,,,Traditional Authority,Traditional Authority,Unknown,Unknown,,0.555111885,0.005132455,0.117835,0.045182,0.145677,0.009944,0.008522,0.007663,0.019177,0.067929,0.027067,0.078837,0.061004,0.034198,0.002545,0.115649
157,MWI,Malawi,1956,Chiradzulu,22749,TA Kadewere,,,,,Traditional Authority,Traditional Authority,Unknown,Unknown,,0.770690295,0.017539892,0.403114,0.033032,0.409887,0.004814,0.01753,0.0049,0.018228,0.065935,0.032625,0.091391,0.063686,0.020143,0.002479,0.082777
157,MWI,Malawi,1956,Chiradzulu,22750,TA Likoswe,,,,,Traditional Authority,Traditional Authority,Unknown,Unknown,,0.467520438,0.009470684,0.241197,0.02007,0.24585,0.007054,0.02737,0.008047,0.027944,0.016284,0.015525,0.02702,0.070197,0.053975,0.003999,0.12804
157,MWI,Malawi,1956,Chiradzulu,22751,TA Mpama,,,,,Traditional Authority,Traditional Authority,Unknown,Unknown,,0.731778479,0.012518604,0.181981,0.059673,0.214065,0.015907,0.011494,0.009249,0.020507,0.044706,0.028244,0.060459,0.050316,0.030364,0.00242,0.084578
157,MWI,Malawi,1956,Chiradzulu,22752,TA Nchema,,,,,Traditional Authority,Traditional Authority,Unknown,Unknown,,0.515101433,0.007980661,0.378507,0.233595,0.535592,0.00908,0.023204,0.006076,0.022218,0.130123,0.102689,0.204228,0.070874,0.010501,0.002424,0.080549
157,MWI,Malawi,1956,Chiradzulu,22753,TA Nkalo,,,,,Traditional Authority,Traditional Authority,Unknown,Unknown,,0.58172282,0.011119743,0.364008,0.083237,0.383856,0.007195,0.016058,0.004587,0.016855,0.067435,0.016197,0.07835,0.023054,0.009926,0.003826,0.025709
157,MWI,Malawi,1957,Chitipa,22754,Chitipa Boma,,,,,Boma,Headquarter,Unknown,Unknown,,0.112950035,0.000700733,0.069832,0.010502,0.088963,0.011766,0.015234,0.00057,0.02933,0.069145,0.0069,0.068853,0.111118,0.009814,0.002346,0.109178
157,MWI,Malawi,1957,Chitipa,22755,Nyika N.P. - Chitipa,,,,,National Park,National Park,Unknown,Unknown,,1.307260385,0.05575183,0.049263,0.010093,0.057265,0.156696,0.027093,0.005883,0.068264,0.013287,0.004687,0.01427,0.045197,0.005079,0.00117,0.050208
157,MWI,Malawi,1957,Chitipa,22756,TA Kameme,,,,,Traditional Authority,Traditional Authority,Unknown,Unknown,,1.073288516,0.035606348,0.058114,0.008692,0.072116,0.0269,0.017211,0.000899,0.035864,0.024372,0.004375,0.025665,0.093032,0.00547,0.001373,0.088884
157,MWI,Malawi,1957,Chitipa,22757,TA Mwabulambya,,,,,Traditional Authority,Traditional Authority,Unknown,Unknown,,1.670895648,0.077980083,0.069084,0.010414,0.087914,0.014476,0.015467,0.000637,0.0301,0.05421,0.004717,0.055074,0.135697,0.011018,0.002684,0.134088
157,MWI,Malawi,1957,Chitipa,22758,TA Mwenemisuku,,,,,Traditional Authority,Traditional Authority,Unknown,Unknown,,1.287740723,0.053841283,0.07746,0.012036,0.100186,0.013331,0.014887,0.000635,0.028165,0.042144,0.011088,0.049625,0.089853,0.008282,0.001706,0.086864
157,MWI,Malawi,1957,Chitipa,22759,TA Mwenewenya,,,,,Traditional Authority,Traditional Authority,Unknown,Unknown,,1.353102149,0.061737434,0.063409,0.014515,0.07468,0.04643,0.023132,0.002479,0.05339,0.034356,0.004484,0.034957,0.168442,0.011213,0.001339,0.153141
157,MWI,Malawi,1957,Chitipa,22760,TA Nthalire,,,,,Traditional Authority,Traditional Authority,Unknown,Unknown,,1.255960397,0.051109225,0.078928,0.018299,0.096048,0.020133,0.020142,0.001516,0.043137,0.023654,0.00467,0.025382,0.087036,0.005079,0.001481,0.084802
157,MWI,Malawi,1958,Dedza,22762,Lake Malawi,,,,,Water body,Water body,Unknown,Unknown,,1.937308968,0.119133682,0.162659,0.061912,0.225598,0.00127,0.01432,0.00306,0.014362,0.104575,0.021486,0.119211,0.012552,0.013283,0.002478,0.022169
157,MWI,Malawi,1958,Dedza,22763,SC Chauma,,,,,Sub-chief,Sub-chief,Unknown,Unknown,,0.331843887,0.005810266,0.09498,0.035052,0.154814,0.02297,0.016194,0.00249,0.044753,0.039743,0.064882,0.112558,0.011883,0.008815,0.001733,0.016353
157,MWI,Malawi,1958,Dedza,22764,SC Chilikumwendo,,,,,Sub-chief,Sub-chief,Unknown,Unknown,,0.807029403,0.020249802,0.112882,0.044122,0.145955,0.016773,0.032594,0.004787,0.047459,0.075879,0.01452,0.087062,0.008488,0.006996,0.001811,0.011974
157,MWI,Malawi,1958,Dedza,22765,SC Kamenya Gwaza,,,,,Sub-chief,Sub-chief,Unknown,Unknown,,0.701688658,0.016290112,0.062556,0.010459,0.070332,0.023284,0.014859,0.002717,0.022245,0.031886,0.016059,0.043259,0.005092,0.003667,0.001591,0.008324
157,MWI,Malawi,1958,Dedza,22766,TA Kachindamoto,,,,,Traditional Authority,Traditional Authority,Unknown,Unknown,,1.129782129,0.05804823,0.162582,0.039425,0.19919,0.001939,0.012444,0.003157,0.011394,0.089832,0.052546,0.130743,0.003949,0.005053,0.002643,0.007258
157,MWI,Malawi,1958,Dedza,22767,TA Kaphuka,,,,,Traditional Authority,Traditional Authority,Unknown,Unknown,,1.086743968,0.05117381,0.100268,0.059901,0.164388,0.021832,0.027695,0.00327,0.044417,0.034795,0.020884,0.051473,0.0113,0.007502,0.00165,0.015679
157,MWI,Malawi,1958,Dedza,22768,TA Kasumbu,,,,,Traditional Authority,Traditional Authority,Unknown,Unknown,,1.025940784,0.048269558,0.05974,0.017983,0.076258,0.026791,0.018557,0.002738,0.030444,0.046862,0.050245,0.090124,0.005949,0.005298,0.001679,0.010871
157,MWI,Malawi,1958,Dedza,22769,TA Pemba,,,,,Traditional Authority,Traditional Authority,Unknown,Unknown,,1.791390171,0.067884692,0.102067,0.032192,0.124387,0.018066,0.028631,0.002791,0.047068,0.060381,0.014614,0.072687,0.008116,0.005987,0.001489,0.012178
157,MWI,Malawi,1958,Dedza,22770,TA Tambala,,,,,Traditional Authority,Traditional Authority,Unknown,Unknown,,1.031529363,0.039941496,0.062372,0.058673,0.154288,0.01896,0.015897,0.00247,0.031921,0.064658,0.118054,0.184873,0.008761,0.0074,0.001819,0.012564
157,MWI,Malawi,1959,Dowa,22773,SC Chakhaza,,,,,Sub-chief,Sub-chief,Unknown,Unknown,,1.377634047,0.061069495,0.088857,0.072163,0.138811,0.016564,0.022301,0.004449,0.044779,0.040722,0.004423,0.041145,0.009366,0.006515,0.001999,0.014299
157,MWI,Malawi,1959,Dowa,22774,SC Kayembe,,,,,Sub-chief,Sub-chief,Unknown,Unknown,,1.137446565,0.036983905,0.052704,0.044651,0.09151,0.018534,0.021737,0.002488,0.054418,0.027006,0.003735,0.028302,0.009634,0.003637,0.003133,0.015269
157,MWI,Malawi,1959,Dowa,22775,SC Mkukula,,,,,Sub-chief,Sub-chief,Unknown,Unknown,,1.079749974,0.032171033,0.064906,0.059389,0.142854,0.019183,0.027438,0.004546,0.047783,0.022671,0.015324,0.03297,0.036986,0.016954,0.001806,0.047714
157,MWI,Malawi,1959,Dowa,22776,SC Mponela,,,,,Sub-chief,Sub-chief,Unknown,Unknown,,0.894835393,0.013325818,0.063325,0.04696,0.102243,0.024046,0.033097,0.005277,0.058948,0.018202,0.005475,0.02012,0.025418,0.007976,0.001856,0.028343
157,MWI,Malawi,1959,Dowa,22777,TA Chiwere,,,,,Traditional Authority,Traditional Authority,Unknown,Unknown,,1.286790911,0.043751011,0.068134,0.093906,0.175316,0.012586,0.02708,0.004771,0.044518,0.025733,0.019816,0.045899,0.016703,0.005781,0.00232,0.019153
157,MWI,Malawi,1959,Dowa,22778,TA Dzoole,,,,,Traditional Authority,Traditional Authority,Unknown,Unknown,,1.286712336,0.03012804,0.057527,0.045029,0.093973,0.020807,0.030949,0.004559,0.055745,0.015419,0.005457,0.017735,0.032695,0.007697,0.002,0.038117
157,MWI,Malawi,1959,Dowa,22779,TA Msakambewa,,,,,Traditional Authority,Traditional Authority,Unknown,Unknown,,1.302911705,0.037079566,0.047197,0.048329,0.086001,0.054005,0.038864,0.007937,0.089915,0.013075,0.00398,0.014274,0.017842,0.008181,0.002004,0.020199
157,MWI,Malawi,1960,Karonga,22780,Karonga Town,,,,,Town,Town,Unknown,Unknown,,0.274693939,0.0038252,0.158971,0.03201,0.218891,0.00083,0.010972,0.000711,0.01469,0.013616,0.004895,0.015475,0.004711,0.004581,0.003053,0.006759
157,MWI,Malawi,1960,Karonga,22781,Lake Malawi,,,,,Water body,Water body,Unknown,Unknown,,3.306767568,0.416474764,0.174071,0.044519,0.234712,0.000839,0.012412,0.001456,0.018231,0.079894,0.012883,0.091343,0.01471,0.012237,0.002496,0.024154
157,MWI,Malawi,1960,Karonga,22782,Nyipa N. P. - Karonga,,,,,National Park,National Park,Unknown,Unknown,,1.506994014,0.086629977,0.083165,0.01715,0.105002,0.047978,0.019139,0.002089,0.042272,0.021241,0.009168,0.025915,0.022117,0.00575,0.001701,0.026229
157,MWI,Malawi,1960,Karonga,22783,SC Mwakaboko,,,,,Sub-chief,Sub-chief,Unknown,Unknown,,0.75671836,0.021255619,0.133197,0.024476,0.181569,0.001492,0.011571,0.000561,0.016923,0.064015,0.02691,0.08696,0.022705,0.008991,0.001971,0.024161
157,MWI,Malawi,1960,Karonga,22784,SC Mwirang'ombe,,,,,Sub-chief,Sub-chief,Unknown,Unknown,,0.82164672,0.014074609,0.164881,0.042111,0.219688,0.001075,0.013124,0.001359,0.020832,0.034133,0.017216,0.047441,0.006938,0.00601,0.002972,0.010075
157,MWI,Malawi,1960,Karonga,22785,TA Kilupula,,,,,Traditional Authority,Traditional Authority,Unknown,Unknown,,0.900498345,0.027072009,0.139501,0.026524,0.190627,0.001441,0.011477,0.000611,0.016537,0.048866,0.046258,0.08725,0.011281,0.005489,0.002268,0.01286
157,MWI,Malawi,1960,Karonga,22786,TA Kyungu,,,,,Traditional Authority,Traditional Authority,Unknown,Unknown,,2.160579303,0.123085962,0.129881,0.033006,0.16984,0.004607,0.015309,0.001362,0.026044,0.032329,0.013675,0.041741,0.040156,0.007407,0.002325,0.035916
157,MWI,Malawi,1960,Karonga,22787,TA Wasambo,,,,,Traditional Authority,Traditional Authority,Unknown,Unknown,,0.940865677,0.029239546,0.154925,0.037103,0.20672,0.001395,0.013081,0.00113,0.021005,0.047016,0.016492,0.060335,0.009096,0.008359,0.002706,0.015339
157,MWI,Malawi,1961,Kasungu,22788,Kasungu Boma,,,,,Boma,Headquarter,Unknown,Unknown,,0.234335333,0.003086496,0.104497,0.035118,0.136778,0.006417,0.01944,0.001137,0.035859,0.069641,0.005005,0.070504,0.00696,0.00535,0.001867,0.009519
157,MWI,Malawi,1961,Kasungu,22789,Kasungu National Park,,,,,National Park,National Park,Unknown,Unknown,,2.677579673,0.199915867,0.101307,0.022312,0.127528,0.006484,0.016824,0.000884,0.032435,0.054247,0.007085,0.057581,0.016486,0.009216,0.00173,0.025209
157,MWI,Malawi,1961,Kasungu,22790,SC Chilowamatambe,,,,,Sub-chief,Sub-chief,Unknown,Unknown,,0.913406277,0.026216236,0.128887,0.116362,0.179817,0.011068,0.030492,0.00483,0.04034,0.060998,0.004933,0.062264,0.006681,0.00821,0.002623,0.012387
157,MWI,Malawi,1961,Kasungu,22791,SC Chisikwa,,,,,Sub-chief,Sub-chief,Unknown,Unknown,,0.292623118,0.003891297,0.149363,0.006737,0.14686,0.013021,0.015025,0.001982,0.027132,0.031373,0.003446,0.031976,0.017414,0.028404,0.002081,0.040405
157,MWI,Malawi,1961,Kasungu,22792,SC Kawamba,,,,,Sub-chief,Sub-chief,Unknown,Unknown,,1.547821074,0.054260386,0.097049,0.027248,0.128416,0.006662,0.016896,0.000969,0.034055,0.080872,0.004632,0.081522,0.011182,0.005622,0.001886,0.015665
157,MWI,Malawi,1961,Kasungu,22793,SC Lukwa,,,,,Sub-chief,Sub-chief,Unknown,Unknown,,1.014147385,0.02307091,0.104797,0.033464,0.135353,0.007274,0.019298,0.001372,0.036333,0.051791,0.004489,0.053012,0.010148,0.004814,0.002181,0.0134
157,MWI,Malawi,1962,Lilongwe,22806,SC Mtema,,,,,Sub-chief,Sub-chief,Unknown,Unknown,,0.708018468,0.014193308,0.075436,0.037504,0.100703,0.010713,0.036799,0.006761,0.042557,0.016178,0.013836,0.028247,0.055886,0.010146,0.002127,0.066184
